FID,wkb_geometry,long,lat,name,vejnavn,husnr,address,chargeType,betalingszone,ladestandertype,antal_udtag,operator,bem
elbil_ladestander.111,MULTIPOINT ((12.578323915947704 55.69944620393017)),12.57832392,55.6994462,Odensegade elbil_ladestander.111,Odensegade,2,Odensegade 2,Blå betalingszone ,Blå betalingszone,,2,E-On,
elbil_ladestander.112,MULTIPOINT ((12.586590195104774 55.68541454739064)),12.5865902,55.68541455,Borgergade elbil_ladestander.112,Borgergade,30,Borgergade 30,Grøn betalingszone 11kW,Grøn betalingszone,11kW,2,E.On Danmark,
elbil_ladestander.113,MULTIPOINT ((12.578420341539443 55.699470773684006)),12.57842034,55.69947077,Odensegade elbil_ladestander.113,Odensegade,2,Odensegade 2,Blå betalingszone ,Blå betalingszone,,2,E-On,
elbil_ladestander.114,MULTIPOINT ((12.540227723800932 55.698616827440475)),12.54022772,55.69861683,Esromgade elbil_ladestander.114,Esromgade,12,Esromgade 12,Udenfor betalingsområdet ,Udenfor betalingsområdet,,2,E-On,
elbil_ladestander.115,MULTIPOINT ((12.545508353792837 55.70292589506664)),12.54550835,55.7029259,Heimdalsgade elbil_ladestander.115,Heimdalsgade,43,Heimdalsgade 43, 11kW,,11kW,2,E.On Danmark,Afventer opstilling
elbil_ladestander.116,MULTIPOINT ((12.545451584353334 55.70289474415024)),12.54545158,55.70289474,Heimdalsgade elbil_ladestander.116,Heimdalsgade,43,Heimdalsgade 43, 11kW,,11kW,2,E.On Danmark,Afventer opstilling
elbil_ladestander.117,MULTIPOINT ((12.562228924444726 55.686952188718024)),12.56222892,55.68695219,Peblinge Dossering elbil_ladestander.117,Peblinge Dossering,1B,Peblinge Dossering 1B,Blå betalingszone 11kW,Blå betalingszone,11kW,2,E.On Danmark,Afventer opstilling
elbil_ladestander.118,MULTIPOINT ((12.562313277191697 55.68702408346074)),12.56231328,55.68702408,Peblinge Dossering elbil_ladestander.118,Peblinge Dossering,1B,Peblinge Dossering 1B,Blå betalingszone 11kW,Blå betalingszone,11kW,2,E.On Danmark,Afventer opstilling
elbil_ladestander.119,MULTIPOINT ((12.53576631935449 55.64854718932171)),12.53576632,55.64854719,Borgmester Christiansens Gade elbil_ladestander.119,Borgmester Christiansens Gade,32,Borgmester Christiansens Gade 32,Uden for betalingszonen 11kW,Uden for betalingszonen,11kW,2,E.On Danmark,Afventer opstilling
elbil_ladestander.120,MULTIPOINT ((12.535869536521163 55.64851056683241)),12.53586954,55.64851057,Borgmester Christiansens Gade elbil_ladestander.120,Borgmester Christiansens Gade,32,Borgmester Christiansens Gade 32,Uden for betalingszonen 11kW,Uden for betalingszonen,11kW,2,E.On Danmark,Afventer opstilling
elbil_ladestander.121,MULTIPOINT ((12.59938397188672 55.6649282241552)),12.59938397,55.66492822,Hollænderdybet elbil_ladestander.121,Hollænderdybet,2,Hollænderdybet 2,Blå betalingszone 11kW,Blå betalingszone,11kW,2,E.On Danmark,
elbil_ladestander.122,MULTIPOINT ((12.570524003547291 55.69629362929928)),12.570524,55.69629363,Frederik V?s Vej elbil_ladestander.122,Frederik V?s Vej,,Frederik V?s Vej ,Blå betalingszone 11kW,Blå betalingszone,11kW,2,,
elbil_ladestander.123,MULTIPOINT ((12.57047171385076 55.696323393971085)),12.57047171,55.69632339,Frederik V?s Vej elbil_ladestander.123,Frederik V?s Vej,,Frederik V?s Vej ,Blå betalingszone 11kW,Blå betalingszone,11kW,2,,
elbil_ladestander.124,MULTIPOINT ((12.581794843553599 55.682458694870185)),12.58179484,55.68245869,Gothersgade elbil_ladestander.124,Gothersgade,52,Gothersgade 52,Rød betalingszone 11kW,Rød betalingszone,11kW,2,E.On Danmark,
elbil_ladestander.125,MULTIPOINT ((12.526224010784993 55.64755829695406)),12.52622401,55.6475583,Hammelstrupvej elbil_ladestander.125,Hammelstrupvej,8,Hammelstrupvej 8, 11kW,,11kW,2,E.On Danmark,
elbil_ladestander.126,MULTIPOINT ((12.636525538866444 55.64540968147101)),12.63652554,55.64540968,Hedegaardsvej elbil_ladestander.126,Hedegaardsvej,,Hedegaardsvej ,Uden for betalingszonen 11kW,Uden for betalingszonen,11kW,2,E.On Danmark,
elbil_ladestander.127,MULTIPOINT ((12.63663107739955 55.6454225318302)),12.63663108,55.64542253,Hedegaardsvej elbil_ladestander.127,Hedegaardsvej,,Hedegaardsvej ,Uden for betalingszonen 11kW,Uden for betalingszonen,11kW,2,E.On Danmark,
elbil_ladestander.128,MULTIPOINT ((12.589683692288327 55.70617733276315)),12.58968369,55.70617733,Hjørringgade elbil_ladestander.128,Hjørringgade,18B,Hjørringgade 18B, 11kW,,11kW,2,E.On Danmark,
elbil_ladestander.129,MULTIPOINT ((12.587125428481606 55.670166697897976)),12.58712543,55.6701667,Overgaden oven Vandet elbil_ladestander.129,Overgaden oven Vandet,,Overgaden oven Vandet ,Grøn betalingszone 11kW,Grøn betalingszone,11kW,2,E.On Danmark,
elbil_ladestander.130,MULTIPOINT ((12.592611500928761 55.67267007873495)),12.5926115,55.67267008,Mikkel Vibes Gade elbil_ladestander.130,Mikkel Vibes Gade,5,Mikkel Vibes Gade 5,Grøn betalingszone 22kW,Grøn betalingszone,22kW,2,CLEVER A/S,
elbil_ladestander.131,MULTIPOINT ((12.59302818174812 55.673145308409005)),12.59302818,55.67314531,SAntk Annæ GAde elbil_ladestander.131,SAntk Annæ GAde,15,SAntk Annæ GAde 15,Grøn betalingszone 11kW,Grøn betalingszone,11kW,2,E.On Danmark,
elbil_ladestander.132,MULTIPOINT ((12.592835244751328 55.673247466793306)),12.59283524,55.67324747,Sankt Annæ Gade elbil_ladestander.132,Sankt Annæ Gade,13,Sankt Annæ Gade 13,Grøn betalingszone 11kW,Grøn betalingszone,11kW,2,E.On Danmark,Reserveret til el-delebiler
elbil_ladestander.133,MULTIPOINT ((12.540872621328921 55.692626794471714)),12.54087262,55.69262679,Stefansgade elbil_ladestander.133,Stefansgade,44,Stefansgade 44,Uden for betalingszonen 11kW,Uden for betalingszonen,11kW,2,E.On Danmark,
elbil_ladestander.134,MULTIPOINT ((12.540827160819907 55.692581392456894)),12.54082716,55.69258139,Stefansgade elbil_ladestander.134,Stefansgade,46,Stefansgade 46,Uden for betalingszonen 11kW,Uden for betalingszonen,11kW,2,E.On Danmark,
elbil_ladestander.135,MULTIPOINT ((12.509578781242894 55.66637561134131)),12.50957878,55.66637561,Horsekildevej elbil_ladestander.135,Horsekildevej,5,Horsekildevej 5,Uden for betalingszonen 11kW,Uden for betalingszonen,11kW,2,E.On Danmark,
elbil_ladestander.136,MULTIPOINT ((12.607969070287535 55.63939318612246)),12.60796907,55.63939319,Irlandsvej elbil_ladestander.136,Irlandsvej,121,Irlandsvej 121,Uden for betalingszonen 11kW,Uden for betalingszonen,11kW,2,E.On Danmark,
elbil_ladestander.137,MULTIPOINT ((12.553246583423926 55.68953364977512)),12.55324658,55.68953365,Kapelvej elbil_ladestander.137,Kapelvej,15,Kapelvej 15,Blå betalingszone 11kW,Blå betalingszone,11kW,2,E.On Danmark,
elbil_ladestander.138,MULTIPOINT ((12.586633227063254 55.68546484243452)),12.58663323,55.68546484,Borgergade elbil_ladestander.138,Borgergade,30,Borgergade 30,Grøn betalingszone 11kW,Grøn betalingszone,11kW,2,E.On Danmark,
elbil_ladestander.139,MULTIPOINT ((12.58667515233253 55.685513541824015)),12.58667515,55.68551354,Borgergade elbil_ladestander.139,Borgergade,30,Borgergade 30,Grøn betalingszone 11kW,Grøn betalingszone,11kW,2,E.On Danmark,
elbil_ladestander.140,MULTIPOINT ((12.543897792350654 55.6662755091732)),12.54389779,55.66627551,Enghave Plads elbil_ladestander.140,Enghave Plads,25,Enghave Plads 25,Blå betalingszone 11kW,Blå betalingszone,11kW,2,E.On Danmark,
elbil_ladestander.141,MULTIPOINT ((12.543842977909442 55.6662539780038)),12.54384298,55.66625398,Enghave Plads elbil_ladestander.141,Enghave Plads,25,Enghave Plads 25,Blå betalingszone 11kW,Blå betalingszone,11kW,2,E.On Danmark,Reserveret til el-delebiler
elbil_ladestander.142,MULTIPOINT ((12.576650222044238 55.720196701156155)),12.57665022,55.7201967,Vangehusvej elbil_ladestander.142,Vangehusvej,1B,Vangehusvej 1B,Uden for betalingszonen 11kW,Uden for betalingszonen,11kW,2,E.On Danmark,
elbil_ladestander.143,MULTIPOINT ((12.575161859083924 55.70832159291291)),12.57516186,55.70832159,Borgmester Jensens Allé elbil_ladestander.143,Borgmester Jensens Allé,5,Borgmester Jensens Allé 5,Blå betalingszone ,Blå betalingszone,,2,E.On Danmark,
elbil_ladestander.144,MULTIPOINT ((12.57163108011032 55.68475775356167)),12.57163108,55.68475775,Linnésgade elbil_ladestander.144,Linnésgade,28,Linnésgade 28,Grøn betalingszone 11kW,Grøn betalingszone,11kW,2,E.On Danmark,
elbil_ladestander.145,MULTIPOINT ((12.568036715148203 55.68050129322464)),12.56803672,55.68050129,Nørre Voldgade elbil_ladestander.145,Nørre Voldgade,,Nørre Voldgade ,Rød betalingszone 11kW,Rød betalingszone,11kW,2,E.On Danmark,
elbil_ladestander.146,MULTIPOINT ((12.587051051570098 55.693211857027535)),12.58705105,55.69321186,Bergensgade elbil_ladestander.146,Bergensgade,1,Bergensgade 1,Grøn betalingszone ,Grøn betalingszone,,2,E.On Danmark,
elbil_ladestander.147,MULTIPOINT ((12.587002181164202 55.69325286678394)),12.58700218,55.69325287,Bergensgade elbil_ladestander.147,Bergensgade,1,Bergensgade 1,Grøn betalingszone ,Grøn betalingszone,,2,E.On Danmark,
elbil_ladestander.148,MULTIPOINT ((12.586943450977786 55.69330415768024)),12.58694345,55.69330416,Bergensgade elbil_ladestander.148,Bergensgade,1,Bergensgade 1,Grøn betalingszone ,Grøn betalingszone,,2,E.On Danmark,
elbil_ladestander.149,MULTIPOINT ((12.573699031617886 55.689180621575154)),12.57369903,55.68918062,Rørholmsgade elbil_ladestander.149,Rørholmsgade,2A,Rørholmsgade 2A,Grøn betalingszone 11kW,Grøn betalingszone,11kW,2,E.On Danmark,
elbil_ladestander.150,MULTIPOINT ((12.500735984637299 55.65590419762355)),12.50073598,55.6559042,Retortvej elbil_ladestander.150,Retortvej,16,Retortvej 16,Uden for betalingszonen 11kW,Uden for betalingszonen,11kW,2,E.On Danmark,
elbil_ladestander.151,MULTIPOINT ((12.500775329094612 55.65582132466077)),12.50077533,55.65582132,Retortvej elbil_ladestander.151,Retortvej,18,Retortvej 18,Uden for betalingszonen 11kW,Uden for betalingszonen,11kW,2,E.On Danmark,
elbil_ladestander.152,MULTIPOINT ((12.500813161886997 55.6557458707369)),12.50081316,55.65574587,Retortvej elbil_ladestander.152,Retortvej,18,Retortvej 18,Uden for betalingszonen 11kW,Uden for betalingszonen,11kW,2,E.On Danmark,
elbil_ladestander.153,MULTIPOINT ((12.548803242000478 55.70096232969833)),12.54880324,55.70096233,Ægirsgade elbil_ladestander.153,Ægirsgade,65A,Ægirsgade 65A,Uden for betalingszonen 11kW,Uden for betalingszonen,11kW,2,E.On Danmark,
elbil_ladestander.154,MULTIPOINT ((12.562000220828104 55.67644273206062)),12.56200022,55.67644273,Vester Farimagsgade elbil_ladestander.154,Vester Farimagsgade,17,Vester Farimagsgade 17,Grøn betalingszone 11kW,Grøn betalingszone,11kW,2,CLEVER,
elbil_ladestander.155,MULTIPOINT ((12.562017663627493 55.67650975364409)),12.56201766,55.67650975,Vester Farimagsgade elbil_ladestander.155,Vester Farimagsgade,17,Vester Farimagsgade 17,Grøn betalingszone 11kW,Grøn betalingszone,11kW,2,CLEVER,
elbil_ladestander.156,MULTIPOINT ((12.599451459743888 55.66494340115158)),12.59945146,55.6649434,Hollænderdybet elbil_ladestander.156,Hollænderdybet,2,Hollænderdybet 2,Blå betalingszone 1kW,Blå betalingszone,1kW,2,E-On,
elbil_ladestander.157,MULTIPOINT ((12.577676650727721 55.69165365984598)),12.57767665,55.69165366,Upsalagade elbil_ladestander.157,Upsalagade,,Upsalagade ,Grøn betalingszone ,Grøn betalingszone,,2,E-On,
elbil_ladestander.158,MULTIPOINT ((12.577726322041832 55.691695655207454)),12.57772632,55.69169566,Upsalagade elbil_ladestander.158,Upsalagade,,Upsalagade ,Grøn betalingszone ,Grøn betalingszone,,2,E-On,
elbil_ladestander.159,MULTIPOINT ((12.577776989991087 55.69173702634684)),12.57777699,55.69173703,Upsalagade elbil_ladestander.159,Upsalagade,,Upsalagade ,Grøn betalingszone ,Grøn betalingszone,,2,E-On,
elbil_ladestander.160,MULTIPOINT ((12.579194955176163 55.66750058485866)),12.57919496,55.66750058,Thorshavnsgade elbil_ladestander.160,Thorshavnsgade,23,Thorshavnsgade 23,Blå betalingszone ,Blå betalingszone,,2,CLEVER,
elbil_ladestander.161,MULTIPOINT ((12.59475585423401 55.68792936403208)),12.59475585,55.68792936,Esplanaden elbil_ladestander.161,Esplanaden,-,Esplanaden -,Grøn betalingszone ,Grøn betalingszone,,2,Clever,
elbil_ladestander.162,MULTIPOINT ((12.591321053027778 55.681866831179754)),12.59132105,55.68186683,Amaliegade elbil_ladestander.162,Amaliegade,,Amaliegade ,Grøn betalingszone ,Grøn betalingszone,,2,E-On,"ingen færdigmeldingsdato, omtrentlig placedring, ingen skitse"
elbil_ladestander.163,MULTIPOINT ((12.591351600837719 55.68190382155045)),12.5913516,55.68190382,Amaliegade elbil_ladestander.163,Amaliegade,,Amaliegade ,Grøn betalingszone ,Grøn betalingszone,,2,E-On,"ingen færdigmeldingsdato, omtrentlig placedring, ingen skitse"
elbil_ladestander.164,MULTIPOINT ((12.58930034596463 55.6879267758715)),12.58930035,55.68792678,Tigergade elbil_ladestander.164,Tigergade,6,Tigergade 6,Grøn betalingszone ,Grøn betalingszone,,2,E-On,
elbil_ladestander.165,MULTIPOINT ((12.579429356635515 55.68184243209295)),12.57942936,55.68184243,Møntergade elbil_ladestander.165,Møntergade,5,Møntergade 5,Rød betalingszone 22kW,Rød betalingszone,22kW,2,Clever,
elbil_ladestander.166,MULTIPOINT ((12.577859848876201 55.70587045147059)),12.57785985,55.70587045,Århusgade elbil_ladestander.166,Århusgade,2,Århusgade 2,Blå betalingszone ,Blå betalingszone,,2,CLEVER,
elbil_ladestander.167,MULTIPOINT ((12.583369254552787 55.675491177438865)),12.58336925,55.67549118,Slotsholmsgade elbil_ladestander.167,Slotsholmsgade,1A,Slotsholmsgade 1A,Grøn betalingszone ,Grøn betalingszone,,2,Clever,
elbil_ladestander.168,MULTIPOINT ((12.590189533825551 55.67894629867368)),12.59018953,55.6789463,Herluf Trolles Gade elbil_ladestander.168,Herluf Trolles Gade,11,Herluf Trolles Gade 11,Grøn betalingszone ,Grøn betalingszone,,2,E-On,
elbil_ladestander.169,MULTIPOINT ((12.590285101583174 55.67891915981283)),12.5902851,55.67891916,Herluf Trolles Gade elbil_ladestander.169,Herluf Trolles Gade,11,Herluf Trolles Gade 11,Grøn betalingszone ,Grøn betalingszone,,2,E-On,
elbil_ladestander.170,MULTIPOINT ((12.590379437688592 55.678894139066024)),12.59037944,55.67889414,Herluf Trolles Gade elbil_ladestander.170,Herluf Trolles Gade,11,Herluf Trolles Gade 11,Grøn betalingszone ,Grøn betalingszone,,2,E-On,
elbil_ladestander.171,MULTIPOINT ((12.48288921544174 55.66550971165161)),12.48288922,55.66550971,Hansstedvej elbil_ladestander.171,Hansstedvej,,Hansstedvej , ,,,2,,Afventer opstilling
elbil_ladestander.172,MULTIPOINT ((12.581270940551722 55.70142542420324)),12.58127094,55.70142542,Petersborgvej elbil_ladestander.172,Petersborgvej,1,Petersborgvej 1,Blå betalingszone ,Blå betalingszone,,2,E.On Danmark,
elbil_ladestander.173,MULTIPOINT ((12.540660453645271 55.70039170249724)),12.54066045,55.7003917,Ole Jørgensens Gade elbil_ladestander.173,Ole Jørgensens Gade,5,Ole Jørgensens Gade 5,Uden for betalingszonen 11kW,Uden for betalingszonen,11kW,2,E.On Danmark,Afventer opstilling
elbil_ladestander.174,MULTIPOINT ((12.580418202249403 55.704846952918146)),12.5804182,55.70484695,Nøjsomhedsvej elbil_ladestander.174,Nøjsomhedsvej,19,Nøjsomhedsvej 19,Blå betalingszone ,Blå betalingszone,,2,E.On,
elbil_ladestander.175,MULTIPOINT ((12.575855539468826 55.68979735298935)),12.57585554,55.68979735,Stockholmsgade elbil_ladestander.175,Stockholmsgade,7,Stockholmsgade 7,Grøn betalingszone ,Grøn betalingszone,,2,CLEVER,
elbil_ladestander.176,MULTIPOINT ((12.555466784497577 55.67407081689584)),12.55546678,55.67407082,Gammel Kongevej elbil_ladestander.176,Gammel Kongevej,-,Gammel Kongevej -,Grøn betalingszone ,Grøn betalingszone,,2,CLEVER,P-areal ved Vodroffsvej
elbil_ladestander.177,MULTIPOINT ((12.57085009520099 55.674415023641195)),12.5708501,55.67441502,H.C. Andersens Boulevard elbil_ladestander.177,H.C. Andersens Boulevard,23,H.C. Andersens Boulevard 23,Rød betalingszone 22kW,Rød betalingszone,22kW,2,CLEVER,
elbil_ladestander.178,MULTIPOINT ((12.602095071050218 55.66507124575586)),12.60209507,55.66507125,Prags Boulevard elbil_ladestander.178,Prags Boulevard,,Prags Boulevard ,Blå betalingszone 22kW,Blå betalingszone,22kW,2,Clever,
elbil_ladestander.179,MULTIPOINT ((12.604881290472202 55.64586077677016)),12.60488129,55.64586078,Sundbyvestervej elbil_ladestander.179,Sundbyvestervej,,Sundbyvestervej , ,,,2,,Afventer opstilling
elbil_ladestander.180,MULTIPOINT ((12.573776288289324 55.68914487038818)),12.57377629,55.68914487,Rørholmsgade elbil_ladestander.180,Rørholmsgade,,Rørholmsgade , ,,,2,,Afventer opstilling
elbil_ladestander.181,MULTIPOINT ((12.548854902677876 55.70099187564235)),12.5488549,55.70099188,Ægirsgade elbil_ladestander.181,Ægirsgade,65A,Ægirsgade 65A,Uden for betalingszonen 11kW,Uden for betalingszonen,11kW,2,E.On Danmark,
