FID,wkb_geometry,long,lat,vejkode,vejnavn,name,bydel,stativ_type,stativ_placering,stativ_udformning,cykler_retning,antal_pladser,stativ_tilstand,reg_metode
cykelstativ.103,POINT (12.573777074616151 55.67096157148954),12.57377707,55.67096157,5340,Otto Mønsteds Plads,Otto Mønsteds Plads cykelstativ.103,Indre By,NO,På plads,Enkeltsidet,Vinkelret,15,Ikke registreret,Ikke registreret
cykelstativ.104,POINT (12.57271885553227 55.671640208145895),12.57271886,55.67164021,168,Anker Heegaards Gade,Anker Heegaards Gade cykelstativ.104,Indre By,NO,Tæt på facade,Enkeltsidet,Skråt 45 grader,15,Ikke registreret,Ikke registreret
cykelstativ.105,POINT (12.571243487980976 55.67301696483984),12.57124349,55.67301696,7444,Tietgensgade,Tietgensgade cykelstativ.105,Indre By,NO,På fortovsudvidelse,Enkeltsidet,Vinkelret,5,Ikke registreret,Ikke registreret
cykelstativ.106,POINT (12.571325063384826 55.673072213332816),12.57132506,55.67307221,7444,Tietgensgade,Tietgensgade cykelstativ.106,Indre By,NO,På fortovsudvidelse,Enkeltsidet,Vinkelret,5,Ikke registreret,Ikke registreret
cykelstativ.107,POINT (12.571375289287598 55.673104673406584),12.57137529,55.67310467,7444,Tietgensgade,Tietgensgade cykelstativ.107,Indre By,NO,På fortovsudvidelse,Enkeltsidet,Vinkelret,5,Ikke registreret,Ikke registreret
cykelstativ.108,POINT (12.571607282265632 55.673304369728115),12.57160728,55.67330437,7444,Tietgensgade,Tietgensgade cykelstativ.108,Indre By,NO,Tæt på facade,Enkeltsidet,Skråt 45 grader,30,Ikke registreret,Ikke registreret
cykelstativ.109,POINT (12.5738524868415 55.67258102334675),12.57385249,55.67258102,148,H.C. Andersens Boulevard,H.C. Andersens Boulevard cykelstativ.109,Indre By,Smedemodel,På fortovsudvidelse,Enkeltsidet,Skråt 45 grader,14,Ikke registreret,Ikke registreret
cykelstativ.110,POINT (12.573864793188186 55.672603114739765),12.57386479,55.67260311,148,H.C. Andersens Boulevard,H.C. Andersens Boulevard cykelstativ.110,Indre By,Smedemodel,På fortovsudvidelse,Enkeltsidet,Skråt 45 grader,20,Ikke registreret,Ikke registreret
cykelstativ.111,POINT (12.573743790784176 55.67265813644923),12.57374379,55.67265814,148,H.C. Andersens Boulevard,H.C. Andersens Boulevard cykelstativ.111,Indre By,Smedemodel,På fortovsudvidelse,Enkeltsidet,Vinkelret,13,Ikke registreret,Ikke registreret
cykelstativ.112,POINT (12.57165626085847 55.67362346095778),12.57165626,55.67362346,148,H.C. Andersens Boulevard,H.C. Andersens Boulevard cykelstativ.112,Indre By,NO,På fortovsudvidelse,Enkeltsidet,Vinkelret,15,Ikke registreret,Ikke registreret
cykelstativ.113,POINT (12.571566801388608 55.67367449727847),12.5715668,55.6736745,148,H.C. Andersens Boulevard,H.C. Andersens Boulevard cykelstativ.113,Indre By,NO,På fortovsudvidelse,Enkeltsidet,Vinkelret,15,Ikke registreret,Ikke registreret
cykelstativ.114,POINT (12.571465442448554 55.673729862498334),12.57146544,55.67372986,148,H.C. Andersens Boulevard,H.C. Andersens Boulevard cykelstativ.114,Indre By,NO,På fortovsudvidelse,Enkeltsidet,Vinkelret,15,Ikke registreret,Ikke registreret
cykelstativ.115,POINT (12.560904722682944 55.67849425628175),12.56090472,55.67849426,5128,Nyropsgade,Nyropsgade cykelstativ.115,Indre By,Model 32,På fortov,Enkeltsidet,Skråt 45 grader,20,Ikke registreret,Ikke registreret
cykelstativ.116,POINT (12.562131862216747 55.67708168778556),12.56213186,55.67708169,8208,Vester Farimagsgade,Vester Farimagsgade cykelstativ.116,Indre By,NO,På gadeareal,Enkeltsidet,Skråt 45 grader,10,Ikke registreret,Ikke registreret
cykelstativ.117,POINT (12.562408071331486 55.676797547914305),12.56240807,55.67679755,8208,Vester Farimagsgade,Vester Farimagsgade cykelstativ.117,Indre By,NO,På fortovsudvidelse,Enkeltsidet,Vinkelret,10,Ikke registreret,Ikke registreret
cykelstativ.118,POINT (12.561851904502069 55.67751552152417),12.5618519,55.67751552,3540,Kampmannsgade,Kampmannsgade cykelstativ.118,Indre By,NO,På fortovsudvidelse,Enkeltsidet,Vinkelret,15,Ikke registreret,Ikke registreret
cykelstativ.119,POINT (12.5624689293842 55.67693583589946),12.56246893,55.67693584,8208,Vester Farimagsgade,Vester Farimagsgade cykelstativ.119,Indre By,NO,På fortovsudvidelse,Enkeltsidet,Vinkelret,10,Ikke registreret,Ikke registreret
cykelstativ.120,POINT (12.562235889199435 55.677289481616505),12.56223589,55.67728948,8208,Vester Farimagsgade,Vester Farimagsgade cykelstativ.120,Indre By,Model 32,På gadeareal,Enkeltsidet,Skråt 45 grader,10,Ikke registreret,Ikke registreret
cykelstativ.121,POINT (12.562499418441522 55.67699468958503),12.56249942,55.67699469,8208,Vester Farimagsgade,Vester Farimagsgade cykelstativ.121,Indre By,NO,På fortovsudvidelse,Enkeltsidet,Vinkelret,5,Ikke registreret,Ikke registreret
cykelstativ.122,POINT (12.562514479542243 55.67702515529688),12.56251448,55.67702516,8208,Vester Farimagsgade,Vester Farimagsgade cykelstativ.122,Indre By,NO,På fortovsudvidelse,Enkeltsidet,Vinkelret,5,Ikke registreret,Ikke registreret
cykelstativ.123,POINT (12.560974318575317 55.67869975893106),12.56097432,55.67869976,5128,Nyropsgade,Nyropsgade cykelstativ.123,Indre By,Model 32,På fortov,Enkeltsidet,Skråt 45 grader,10,Ikke registreret,Ikke registreret
cykelstativ.37,POINT (12.560982322703248 55.67872417152121),12.56098232,55.67872417,5128,Nyropsgade,Nyropsgade cykelstativ.37,Indre By,Model 32,På fortov,Enkeltsidet,Skråt 45 grader,10,Ikke registreret,Ikke registreret
cykelstativ.38,POINT (12.56252255704135 55.67708988868149),12.56252256,55.67708989,8208,Vester Farimagsgade,Vester Farimagsgade cykelstativ.38,Indre By,NO,På fortovsudvidelse,Dobbeltsidet,Vinkelret,20,Ikke registreret,Ikke registreret
cykelstativ.39,POINT (12.562568914282298 55.67716795894422),12.56256891,55.67716796,8208,Vester Farimagsgade,Vester Farimagsgade cykelstativ.39,Indre By,NO,På fortovsudvidelse,Dobbeltsidet,Vinkelret,20,Ikke registreret,Ikke registreret
cykelstativ.40,POINT (12.56261691236946 55.677241330116814),12.56261691,55.67724133,8208,Vester Farimagsgade,Vester Farimagsgade cykelstativ.40,Indre By,NO,På fortovsudvidelse,Dobbeltsidet,Vinkelret,20,Ikke registreret,Ikke registreret
cykelstativ.41,POINT (12.56103865175359 55.67896557935446),12.56103865,55.67896558,5128,Nyropsgade,Nyropsgade cykelstativ.41,Indre By,Model 32,På fortov,Enkeltsidet,Skråt 45 grader,20,Ikke registreret,Ikke registreret
cykelstativ.42,POINT (12.56267250770807 55.6773168990896),12.56267251,55.6773169,8208,Vester Farimagsgade,Vester Farimagsgade cykelstativ.42,Indre By,NO,På fortovsudvidelse,Dobbeltsidet,Vinkelret,20,Ikke registreret,Ikke registreret
cykelstativ.43,POINT (12.561420015099038 55.67918895121927),12.56142002,55.67918895,5128,Nyropsgade,Nyropsgade cykelstativ.43,Indre By,Andet,På fortov,Enkeltsidet,Vinkelret,13,Ikke registreret,Ikke registreret
cykelstativ.44,POINT (12.561502611029201 55.67918245453541),12.56150261,55.67918245,5128,Nyropsgade,Nyropsgade cykelstativ.44,Indre By,Andet,På fortov,Enkeltsidet,Vinkelret,7,Ikke registreret,Ikke registreret
cykelstativ.45,POINT (12.561647038847642 55.67906224920918),12.56164704,55.67906225,5128,Nyropsgade,Nyropsgade cykelstativ.45,Indre By,NO,På fortov,Enkeltsidet,Skråt 45 grader,20,Ikke registreret,Ikke registreret
cykelstativ.46,POINT (12.563738430765078 55.67673631300022),12.56373843,55.67673631,292,Axeltorv,Axeltorv cykelstativ.46,Indre By,Model 32,Tæt på facade,Enkeltsidet,Vinkelret,9,Ikke registreret,Ikke registreret
cykelstativ.47,POINT (12.563688338264436 55.676803774458435),12.56368834,55.67680377,292,Axeltorv,Axeltorv cykelstativ.47,Indre By,Model 32,Tæt på facade,Enkeltsidet,Vinkelret,9,Ikke registreret,Ikke registreret
cykelstativ.48,POINT (12.563044132697872 55.67778708157394),12.56304413,55.67778708,6824,Staunings Plads,Staunings Plads cykelstativ.48,Indre By,NO,På plads,Dobbeltsidet,Vinkelret,20,Ikke registreret,Ikke registreret
cykelstativ.49,POINT (12.56391567550805 55.67657622710666),12.56391568,55.67657623,292,Axeltorv,Axeltorv cykelstativ.49,Indre By,NO,På plads,Enkeltsidet,Skråt 45 grader,20,Ikke registreret,Ikke registreret
cykelstativ.50,POINT (12.563861634304285 55.676906537455764),12.56386163,55.67690654,292,Axeltorv,Axeltorv cykelstativ.50,Indre By,NO,På fortovsudvidelse,Enkeltsidet,Vinkelret,15,Ikke registreret,Ikke registreret
cykelstativ.51,POINT (12.563934111682707 55.67681744484178),12.56393411,55.67681744,292,Axeltorv,Axeltorv cykelstativ.51,Indre By,NO,På fortovsudvidelse,Enkeltsidet,Vinkelret,15,Ikke registreret,Ikke registreret
cykelstativ.52,POINT (12.564097142428492 55.67652462716198),12.56409714,55.67652463,7064,Studiestræde,Studiestræde cykelstativ.52,Indre By,NO,På plads,Enkeltsidet,Skråt 45 grader,30,Ikke registreret,Ikke registreret
cykelstativ.53,POINT (12.569936459863996 55.6834077236246),12.56993646,55.68340772,4352,Linnésgade,Linnésgade cykelstativ.53,Indre By,NO,På fortov,Dobbeltsidet,Skråt 45 grader,80,Ikke registreret,Ikke registreret
cykelstativ.54,POINT (12.570205185119127 55.6836167914458),12.57020519,55.68361679,4352,Linnésgade,Linnésgade cykelstativ.54,Indre By,NO,På fortov,Dobbeltsidet,Skråt 45 grader,52,Ikke registreret,Ikke registreret
cykelstativ.55,POINT (12.564479753083887 55.67612916654656),12.56447975,55.67612917,292,Axeltorv,Axeltorv cykelstativ.55,Indre By,NO,På plads,Enkeltsidet,Skråt 45 grader,10,Ikke registreret,Ikke registreret
cykelstativ.56,POINT (12.561737738957332 55.67984224814017),12.56173774,55.67984225,5128,Nyropsgade,Nyropsgade cykelstativ.56,Indre By,NO,På facade,Enkeltsidet,Skråt 45 grader,30,Ikke registreret,Ikke registreret
cykelstativ.57,POINT (12.5617541607598 55.68007038246128),12.56175416,55.68007038,5128,Nyropsgade,Nyropsgade cykelstativ.57,Indre By,NO,På fortov,Enkeltsidet,Skråt 45 grader,20,Ikke registreret,Ikke registreret
cykelstativ.328,POINT (12.564801592397957 55.676857638903954),12.56480159,55.67685764,7064,Studiestræde,Studiestræde cykelstativ.328,Indre By,NO,På fortovsudvidelse,Enkeltsidet,Vinkelret,20,Ikke registreret,Ikke registreret
cykelstativ.329,POINT (12.563004218779918 55.679695262335635),12.56300422,55.67969526,2452,Gyldenløvesgade,Gyldenløvesgade cykelstativ.329,Indre By,Model 32,På fortovsudvidelse,Enkeltsidet,Skråt 45 grader,9,Ikke registreret,Ikke registreret
cykelstativ.330,POINT (12.56655090114843 55.67633766636718),12.5665509,55.67633767,3404,Jernbanegade,Jernbanegade cykelstativ.330,Indre By,NO,På fortovsudvidelse,Dobbeltsidet,Vinkelret,20,Ikke registreret,Ikke registreret
cykelstativ.331,POINT (12.566630669032707 55.67637697434628),12.56663067,55.67637697,3404,Jernbanegade,Jernbanegade cykelstativ.331,Indre By,NO,På fortovsudvidelse,Dobbeltsidet,Vinkelret,20,Ikke registreret,Ikke registreret
cykelstativ.332,POINT (12.566705674833136 55.67640232339984),12.56670567,55.67640232,6152,Rådhuspladsen,Rådhuspladsen cykelstativ.332,Indre By,NO,På fortovsudvidelse,Dobbeltsidet,Vinkelret,20,Ikke registreret,Ikke registreret
cykelstativ.333,POINT (12.567252729845332 55.67543114989484),12.56725273,55.67543115,8204,Vesterbrogade,Vesterbrogade cykelstativ.333,Indre By,NO,På gadeareal,Enkeltsidet,Skråt 45 grader,10,Ikke registreret,Ikke registreret
cykelstativ.334,POINT (12.56609874804084 55.67855855277265),12.56609875,55.67855855,3348,Jarmers Plads,Jarmers Plads cykelstativ.334,Indre By,Model 32,På fortovsudvidelse,Enkeltsidet,Skråt 45 grader,15,Ikke registreret,Ikke registreret
cykelstativ.335,POINT (12.562994906594772 55.6833670126312),12.56299491,55.68336701,3712,Kjeld Langes Gade,Kjeld Langes Gade cykelstativ.335,Indre By,Model 32,Tæt på facade,Enkeltsidet,Skråt 45 grader,10,Ikke registreret,Indmålt med GPS
cykelstativ.336,POINT (12.570158447682113 55.68417506602826),12.57015845,55.68417507,1936,Frederiksborggade,Frederiksborggade cykelstativ.336,Indre By,NO,På fortovsudvidelse,Enkeltsidet,Skråt 45 grader,18,Ikke registreret,Ikke registreret
cykelstativ.337,POINT (12.569989947448907 55.68423901234028),12.56998995,55.68423901,1936,Frederiksborggade,Frederiksborggade cykelstativ.337,Indre By,NO,På fortovsudvidelse,Enkeltsidet,Skråt 45 grader,18,Ikke registreret,Ikke registreret
cykelstativ.338,POINT (12.569817158337157 55.68430822136641),12.56981716,55.68430822,1936,Frederiksborggade,Frederiksborggade cykelstativ.338,Indre By,NO,På fortovsudvidelse,Enkeltsidet,Skråt 45 grader,18,Ikke registreret,Ikke registreret
cykelstativ.339,POINT (12.569642074708737 55.6843774737483),12.56964207,55.68437747,1936,Frederiksborggade,Frederiksborggade cykelstativ.339,Indre By,NO,På fortovsudvidelse,Enkeltsidet,Skråt 45 grader,18,Ikke registreret,Ikke registreret
cykelstativ.125,POINT (12.569518691076654 55.68442764962524),12.56951869,55.68442765,1936,Frederiksborggade,Frederiksborggade cykelstativ.125,Indre By,NO,På fortovsudvidelse,Enkeltsidet,Skråt 45 grader,8,Ikke registreret,Ikke registreret
cykelstativ.126,POINT (12.56368618977379 55.68303936698948),12.56368619,55.68303937,3712,Kjeld Langes Gade,Kjeld Langes Gade cykelstativ.126,Indre By,Smedemodel,På gadeareal,Enkeltsidet,Vinkelret,12,Ikke registreret,Indmålt med GPS
cykelstativ.127,POINT (12.562531634340138 55.68125715119132),12.56253163,55.68125715,4940,Nansensgade,Nansensgade cykelstativ.127,Indre By,Model 32,På gadeareal,Enkeltsidet,Skråt 45 grader,26,Skal repareres,Indmålt med GPS
cykelstativ.128,POINT (12.562543340377237 55.681273029380144),12.56254334,55.68127303,4940,Nansensgade,Nansensgade cykelstativ.128,Indre By,Model 32,På gadeareal,Enkeltsidet,Skråt 45 grader,13,Skal repareres,Indmålt med GPS
cykelstativ.129,POINT (12.564943224725422 55.68191736167716),12.56494322,55.68191736,6300,Schacksgade,Schacksgade cykelstativ.129,Indre By,Model 32,På gadeareal,Enkeltsidet,Skråt 45 grader,12,Ikke registreret,Ikke registreret
cykelstativ.130,POINT (12.579836773006086 55.6808406830535),12.57983677,55.68084068,3992,Kronprinsensgade,Kronprinsensgade cykelstativ.130,Indre By,NO,På fortovsudvidelse,Enkeltsidet,Skråt 45 grader,25,Ikke registreret,Ikke registreret
cykelstativ.131,POINT (12.599064115787405 55.69343766628091),12.59906412,55.69343767,,, cykelstativ.131,Indre By,Model 32,På fortov,Enkeltsidet,Vinkelret,6,Ikke registreret,Indmålt med GPS
cykelstativ.132,POINT (12.598859903803424 55.693075722951384),12.5988599,55.69307572,4144,Langelinie,Langelinie cykelstativ.132,Indre By,NO,På plads,Enkeltsidet,Vinkelret,15,Ikke registreret,Indmålt med GPS
cykelstativ.133,POINT (12.570083696429359 55.67760787248467),12.5700837,55.67760787,8216,Vestergade,Vestergade cykelstativ.133,Indre By,NO,På gadeareal,Enkeltsidet,Skråt 45 grader,15,Ikke registreret,Ikke registreret
cykelstativ.134,POINT (12.571295321295162 55.67719562988073),12.57129532,55.67719563,3612,Kattesundet,Kattesundet cykelstativ.134,Indre By,NO,På gadeareal,Enkeltsidet,Skråt 45 grader,15,Ikke registreret,Ikke registreret
cykelstativ.135,POINT (12.570616724658928 55.676929412586276),12.57061672,55.67692941,4748,Mikkel Bryggers Gade,Mikkel Bryggers Gade cykelstativ.135,Indre By,NO,På gadeareal,Enkeltsidet,Vinkelret,10,Ikke registreret,Ikke registreret
cykelstativ.136,POINT (12.570673193781493 55.676884366021326),12.57067319,55.67688437,4748,Mikkel Bryggers Gade,Mikkel Bryggers Gade cykelstativ.136,Indre By,NO,På gadeareal,Enkeltsidet,Vinkelret,10,Ikke registreret,Ikke registreret
cykelstativ.137,POINT (12.571227212836568 55.67645917340565),12.57122721,55.67645917,4748,Mikkel Bryggers Gade,Mikkel Bryggers Gade cykelstativ.137,Indre By,NO,På gadeareal,Enkeltsidet,Vinkelret,10,Ikke registreret,Ikke registreret
cykelstativ.138,POINT (12.573468542080501 55.677308991676824),12.57346854,55.67730899,5140,Nytorv,Nytorv cykelstativ.138,Indre By,NO,På plads,Enkeltsidet,Vinkelret,21,Ikke registreret,Ikke registreret
cykelstativ.139,POINT (12.571350969994619 55.67638892717793),12.57135097,55.67638893,4748,Mikkel Bryggers Gade,Mikkel Bryggers Gade cykelstativ.139,Indre By,NO,På gadeareal,Enkeltsidet,Vinkelret,10,Ikke registreret,Ikke registreret
cykelstativ.140,POINT (12.5714327721821 55.676343190256965),12.57143277,55.67634319,4748,Mikkel Bryggers Gade,Mikkel Bryggers Gade cykelstativ.140,Indre By,NO,På gadeareal,Enkeltsidet,Vinkelret,10,Ikke registreret,Ikke registreret
cykelstativ.141,POINT (12.57099782787024 55.67604435280609),12.57099783,55.67604435,4196,Lavendelstræde,Lavendelstræde cykelstativ.141,Indre By,Model 32,Tæt på facade,Enkeltsidet,Skråt 45 grader,50,Ikke registreret,Ikke registreret
cykelstativ.142,POINT (12.574272256576535 55.67680899048047),12.57427226,55.67680899,6156,Rådhusstræde,Rådhusstræde cykelstativ.142,Indre By,NO,På gadeareal,Enkeltsidet,Vinkelret,10,Ikke registreret,Ikke registreret
cykelstativ.143,POINT (12.574309789266437 55.6767612091718),12.57430979,55.67676121,6156,Rådhusstræde,Rådhusstræde cykelstativ.143,Indre By,NO,På gadeareal,Enkeltsidet,Vinkelret,10,Ikke registreret,Ikke registreret
cykelstativ.144,POINT (12.57312990743799 55.67618068311427),12.57312991,55.67618068,2496,Gåsegade,Gåsegade cykelstativ.144,Indre By,NO,På fortovsudvidelse,Enkeltsidet,Vinkelret,15,Ikke registreret,Ikke registreret
cykelstativ.145,POINT (12.573425699985739 55.676194963812364),12.5734257,55.67619496,3832,Kompagnistræde,Kompagnistræde cykelstativ.145,Indre By,NO,På gadeareal,Enkeltsidet,Skråt 45 grader,15,Ikke registreret,Ikke registreret
cykelstativ.146,POINT (12.576098978663664 55.67758171565969),12.57609898,55.67758172,3832,Kompagnistræde,Kompagnistræde cykelstativ.146,Indre By,NO,På gadeareal,Enkeltsidet,Skråt 45 grader,10,Ikke registreret,Ikke registreret
cykelstativ.147,POINT (12.581017795422772 55.677437217803586),12.5810178,55.67743722,8100,Ved Stranden,Ved Stranden cykelstativ.147,Indre By,NO,På fortovsudvidelse,Enkeltsidet,Vinkelret,5,Ikke registreret,Ikke registreret
cykelstativ.148,POINT (12.581121435539288 55.677393908801434),12.58112144,55.67739391,8100,Ved Stranden,Ved Stranden cykelstativ.148,Indre By,NO,På fortovsudvidelse,Enkeltsidet,Vinkelret,5,Ikke registreret,Ikke registreret
cykelstativ.149,POINT (12.576574817399157 55.67649318427753),12.57657482,55.67649318,5096,Nybrogade,Nybrogade cykelstativ.149,Indre By,NO,På fortovsudvidelse,Enkeltsidet,Skråt 45 grader,5,Ikke registreret,Ikke registreret
cykelstativ.150,POINT (12.574468284339718 55.6762119092178),12.57446828,55.67621191,7968,Vandkunsten,Vandkunsten cykelstativ.150,Indre By,Smedemodel,På plads,Enkeltsidet,Vinkelret,27,Ikke registreret,Ikke registreret
cykelstativ.151,POINT (12.582393318148224 55.6768017167266),12.58239332,55.67680172,8100,Ved Stranden,Ved Stranden cykelstativ.151,Indre By,NO,På fortovsudvidelse,Enkeltsidet,Vinkelret,5,Ikke registreret,Ikke registreret
cykelstativ.152,POINT (12.58262070875268 55.67708850129492),12.58262071,55.6770885,28,Admiralgade,Admiralgade cykelstativ.152,Indre By,NO,På facade,Enkeltsidet,Skråt 45 grader,15,Ikke registreret,Ikke registreret
cykelstativ.153,POINT (12.582544869640516 55.67716481398457),12.58254487,55.67716481,28,Admiralgade,Admiralgade cykelstativ.153,Indre By,NO,På facade,Enkeltsidet,Skråt 45 grader,25,Ikke registreret,Ikke registreret
cykelstativ.154,POINT (12.568940906389587 55.68278521258198),12.56894091,55.68278521,4352,Linnésgade,Linnésgade cykelstativ.154,Indre By,Smedemodel,På plads,Dobbeltsidet,Vinkelret,20,Ikke registreret,Ikke registreret
cykelstativ.155,POINT (12.557486513158532 55.674218037600006),12.55748651,55.67421804,2096,Gammel Kongevej,Gammel Kongevej cykelstativ.155,Indre By,Andet,På fortovsudvidelse,Enkeltsidet,Vinkelret,30,Ikke registreret,Indmålt med GPS
cykelstativ.156,POINT (12.559064126774073 55.674911895438726),12.55906413,55.6749119,8240,Vester Søgade,Vester Søgade cykelstativ.156,Indre By,NO,På fortovsudvidelse,Enkeltsidet,Vinkelret,15,Ikke registreret,Ikke registreret
cykelstativ.58,POINT (12.560971050223086 55.67504510747219),12.56097105,55.67504511,8108,Ved Vesterport,Ved Vesterport cykelstativ.58,Indre By,NO,På fortov,Enkeltsidet,Skråt 45 grader,25,Ikke registreret,Ikke registreret
cykelstativ.59,POINT (12.560835446955691 55.67498276865583),12.56083545,55.67498277,8108,Ved Vesterport,Ved Vesterport cykelstativ.59,Indre By,NO,På fortov,Enkeltsidet,Skråt 45 grader,15,Ikke registreret,Ikke registreret
cykelstativ.60,POINT (12.560691746178877 55.67491047804055),12.56069175,55.67491048,8108,Ved Vesterport,Ved Vesterport cykelstativ.60,Indre By,NO,På fortov,Enkeltsidet,Skråt 45 grader,10,Ikke registreret,Ikke registreret
cykelstativ.6,POINT (12.560847106302042 55.67475664870699),12.56084711,55.67475665,8108,Ved Vesterport,Ved Vesterport cykelstativ.6,Indre By,NO,På fortov,Enkeltsidet,Skråt 45 grader,10,Ikke registreret,Ikke registreret
cykelstativ.7,POINT (12.564404100734713 55.675620524227355),12.5644041,55.67562052,292,Axeltorv,Axeltorv cykelstativ.7,Indre By,NO,På plads,Enkeltsidet,Vinkelret,10,Ikke registreret,Ikke registreret
cykelstativ.8,POINT (12.564825057833009 55.6752007977641),12.56482506,55.6752008,292,Axeltorv,Axeltorv cykelstativ.8,Indre By,NO,På plads,Enkeltsidet,Vinkelret,10,Ikke registreret,Ikke registreret
cykelstativ.9,POINT (12.56492067381127 55.67511316590358),12.56492067,55.67511317,292,Axeltorv,Axeltorv cykelstativ.9,Indre By,NO,På plads,Enkeltsidet,Vinkelret,10,Ikke registreret,Ikke registreret
cykelstativ.10,POINT (12.564989929528215 55.67505637328094),12.56498993,55.67505637,8204,Vesterbrogade,Vesterbrogade cykelstativ.10,Indre By,NO,På plads,Enkeltsidet,Vinkelret,10,Ikke registreret,Ikke registreret
cykelstativ.11,POINT (12.564953150560367 55.67490123660648),12.56495315,55.67490124,8204,Vesterbrogade,Vesterbrogade cykelstativ.11,Indre By,NO,På gadeareal,Enkeltsidet,Vinkelret,15,Ikke registreret,Ikke registreret
cykelstativ.12,POINT (12.56568827635013 55.6751566750087),12.56568828,55.67515668,8204,Vesterbrogade,Vesterbrogade cykelstativ.12,Indre By,NO,På gadeareal,Enkeltsidet,Skråt 45 grader,25,Ikke registreret,Ikke registreret
cykelstativ.13,POINT (12.5661085931182 55.675299778810654),12.56610859,55.67529978,8204,Vesterbrogade,Vesterbrogade cykelstativ.13,Indre By,NO,På gadeareal,Enkeltsidet,Skråt 45 grader,20,Ikke registreret,Ikke registreret
cykelstativ.14,POINT (12.566515189476963 55.67543083640011),12.56651519,55.67543084,8204,Vesterbrogade,Vesterbrogade cykelstativ.14,Indre By,NO,På gadeareal,Enkeltsidet,Skråt 45 grader,20,Ikke registreret,Ikke registreret
cykelstativ.15,POINT (12.564927870856314 55.67463479252818),12.56492787,55.67463479,8204,Vesterbrogade,Vesterbrogade cykelstativ.15,Indre By,NO,På gadeareal,Enkeltsidet,Skråt 45 grader,15,Ikke registreret,Ikke registreret
cykelstativ.16,POINT (12.56512517260985 55.674702087233584),12.56512517,55.67470209,8204,Vesterbrogade,Vesterbrogade cykelstativ.16,Indre By,NO,På gadeareal,Enkeltsidet,Skråt 45 grader,25,Ikke registreret,Ikke registreret
cykelstativ.17,POINT (12.565846064392105 55.67494699687258),12.56584606,55.674947,8204,Vesterbrogade,Vesterbrogade cykelstativ.17,Indre By,NO,På gadeareal,Enkeltsidet,Skråt 45 grader,15,Ikke registreret,Ikke registreret
cykelstativ.18,POINT (12.566458513581102 55.675160406933124),12.56645851,55.67516041,8204,Vesterbrogade,Vesterbrogade cykelstativ.18,Indre By,NO,På gadeareal,Enkeltsidet,Skråt 45 grader,15,Ikke registreret,Ikke registreret
cykelstativ.19,POINT (12.566320355662858 55.675035862702664),12.56632036,55.67503586,8204,Vesterbrogade,Vesterbrogade cykelstativ.19,Indre By,NO,På gadeareal,Enkeltsidet,Skråt 45 grader,40,Ikke registreret,Ikke registreret
cykelstativ.20,POINT (12.566689379311102 55.67523831377811),12.56668938,55.67523831,8204,Vesterbrogade,Vesterbrogade cykelstativ.20,Indre By,NO,På gadeareal,Enkeltsidet,Skråt 45 grader,30,Ikke registreret,Ikke registreret
cykelstativ.21,POINT (12.566877436296888 55.675302433512826),12.56687744,55.67530243,8204,Vesterbrogade,Vesterbrogade cykelstativ.21,Indre By,NO,På gadeareal,Enkeltsidet,Skråt 45 grader,15,Ikke registreret,Ikke registreret
cykelstativ.22,POINT (12.568986824077669 55.682821984862365),12.56898682,55.68282198,4352,Linnésgade,Linnésgade cykelstativ.22,Indre By,Smedemodel,På plads,Dobbeltsidet,Vinkelret,20,Ikke registreret,Ikke registreret
cykelstativ.23,POINT (12.56904822173485 55.68287100682813),12.56904822,55.68287101,4352,Linnésgade,Linnésgade cykelstativ.23,Indre By,Smedemodel,På plads,Dobbeltsidet,Vinkelret,20,Ikke registreret,Ikke registreret
cykelstativ.24,POINT (12.56911043381921 55.68292128942665),12.56911043,55.68292129,4352,Linnésgade,Linnésgade cykelstativ.24,Indre By,Smedemodel,På plads,Dobbeltsidet,Vinkelret,20,Ikke registreret,Ikke registreret
cykelstativ.25,POINT (12.568415955659125 55.68351439197094),12.56841596,55.68351439,6116,Rømersgade,Rømersgade cykelstativ.25,Indre By,Smedemodel,På plads,Enkeltsidet,Vinkelret,10,Ikke registreret,Ikke registreret
cykelstativ.26,POINT (12.56835991342337 55.68346697084802),12.56835991,55.68346697,6116,Rømersgade,Rømersgade cykelstativ.26,Indre By,Smedemodel,På plads,Enkeltsidet,Vinkelret,10,Ikke registreret,Ikke registreret
cykelstativ.27,POINT (12.567984166307683 55.683161923527855),12.56798417,55.68316192,6116,Rømersgade,Rømersgade cykelstativ.27,Indre By,Smedemodel,På plads,Enkeltsidet,Vinkelret,10,Ikke registreret,Ikke registreret
cykelstativ.28,POINT (12.568034618994089 55.68320349830238),12.56803462,55.6832035,6116,Rømersgade,Rømersgade cykelstativ.28,Indre By,Smedemodel,På plads,Enkeltsidet,Vinkelret,10,Ikke registreret,Ikke registreret
cykelstativ.29,POINT (12.566997938442908 55.675342617570045),12.56699794,55.67534262,8204,Vesterbrogade,Vesterbrogade cykelstativ.29,Indre By,NO,På gadeareal,Enkeltsidet,Skråt 45 grader,10,Ikke registreret,Ikke registreret
cykelstativ.30,POINT (12.56708631068538 55.6753730232509),12.56708631,55.67537302,8204,Vesterbrogade,Vesterbrogade cykelstativ.30,Indre By,NO,På gadeareal,Enkeltsidet,Skråt 45 grader,10,Ikke registreret,Ikke registreret
