FID,wkb_geometry,long,lat,vejkode,vejnavn,name,bydel,stativ_type,stativ_placering,stativ_udformning,cykler_retning,antal_pladser,stativ_tilstand,reg_metode
cykelstativ.1138,POINT (12.587148669846151 55.69771402506165),12.58714867,55.69771403,4364,Livjægergade,Livjægergade cykelstativ.1138,Indre By,Andet,På facade,Enkeltsidet,Vinkelret,5,Ikke registreret,Indmålt med GPS
cykelstativ.1139,POINT (12.587964471165273 55.699668886549006),12.58796447,55.69966889,3008,Holsteinsgade,Holsteinsgade cykelstativ.1139,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,5,Ikke registreret,Indmålt med GPS
cykelstativ.1140,POINT (12.587101418810926 55.6977758969705),12.58710142,55.6977759,4364,Livjægergade,Livjægergade cykelstativ.1140,Indre By,Andet,På facade,Enkeltsidet,Skråt 45 grader,9,Ikke registreret,Indmålt med GPS
cykelstativ.1141,POINT (12.587437412681119 55.69878895274605),12.58743741,55.69878895,8356,Willemoesgade,Willemoesgade cykelstativ.1141,Østerbro,Model 32,På fortovsudvidelse,Enkeltsidet,Skråt 45 grader,10,Ikke registreret,Indmålt med GPS
cykelstativ.1142,POINT (12.589382775828101 55.70219542955115),12.58938278,55.70219543,3384,Jens Munks Gade,Jens Munks Gade cykelstativ.1142,Østerbro,Andet,På facade,Enkeltsidet,Skråt 45 grader,11,Ikke registreret,Indmålt med GPS
cykelstativ.1143,POINT (12.587259614319308 55.69874292234038),12.58725961,55.69874292,8356,Willemoesgade,Willemoesgade cykelstativ.1143,Østerbro,Model 32,På fortovsudvidelse,Enkeltsidet,Skråt 45 grader,5,Ikke registreret,Indmålt med GPS
cykelstativ.1144,POINT (12.589232378264244 55.702158610562776),12.58923238,55.70215861,3384,Jens Munks Gade,Jens Munks Gade cykelstativ.1144,Østerbro,Andet,På facade,Enkeltsidet,Skråt 45 grader,2,Ikke registreret,Indmålt med GPS
cykelstativ.1026,POINT (12.589547687543945 55.702235760350746),12.58954769,55.70223576,3384,Jens Munks Gade,Jens Munks Gade cykelstativ.1026,Østerbro,Andet,På facade,Enkeltsidet,Skråt 45 grader,2,Ikke registreret,Indmålt med GPS
cykelstativ.1027,POINT (12.590968326870499 55.70257886062875),12.59096833,55.70257886,8572,Østbanegade,Østbanegade cykelstativ.1027,Østerbro,Model 32,På facade,Enkeltsidet,Vinkelret,5,Ikke registreret,Indmålt med GPS
cykelstativ.1028,POINT (12.588213579004822 55.69185561707284),12.58821358,55.69185562,5320,Oslo Plads,Oslo Plads cykelstativ.1028,Indre By,NO,På fortovsudvidelse,Dobbeltsidet,Vinkelret,8,Ikke registreret,Indmålt med GPS
