institution_enhed,title,vejnavn,husnr,opsyn,drift_ansvarlig,FID,adresse,postnr,toilet_type,handicapadgang,mandag,tirsdag,onsdag,torsdag,fredag,loerdag,soendag,opening_hours,aabningstid_bemrk,placering,longitude,latitude
"DRIFT, INDRE", toilet.186,,,Nej,Udliciteret,toilet.186,"Vesterbro, Saxoparken",,Støbejernspissoir,Nej,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,Monday: aldrig lukket Tuesday: aldrig lukket Wednesday: aldrig lukket Thursday: aldrig lukket Friday: aldrig lukket Saturday: aldrig lukket Sunday: aldrig lukket,Åbent fra 1. april til 30. september,Park,12.551496,55.66996
"DRIFT, NORD", toilet.187,,,Nej,Udliciteret,toilet.187,Bispebjerg Kirkegård,,H+D+handicap,Ja,8.00 - 20.00 / 9.00 - 19.00,8.00 - 20.00 / 9.00 - 19.00,8.00 - 20.00 / 9.00 - 19.00,8.00 - 20.00 / 9.00 - 19.00,8.00 - 20.00 / 9.00 - 19.00,8.00 - 20.00 / 9.00 - 19.00,8.00 - 20.00 / 9.00 - 19.00,Monday: 8.00 - 20.00 / 9.00 - 19.00 Tuesday: 8.00 - 20.00 / 9.00 - 19.00 Wednesday: 8.00 - 20.00 / 9.00 - 19.00 Thursday: 8.00 - 20.00 / 9.00 - 19.00 Friday: 8.00 - 20.00 / 9.00 - 19.00 Saturday: 8.00 - 20.00 / 9.00 - 19.00 Sunday: 8.00 - 20.00 / 9.00 - 19.00,April til september 8.00-20.00 oktober til marts 9.00-19.00,Kirkegård,12.531011,55.714253
"DRIFT, NORD", toilet.188,,,Nej,Udliciteret,toilet.188,Svanemølle Strandpark,,H+D+handicap,Ja,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,Monday: ca. 9.00 - 22.00 Tuesday: ca. 9.00 - 22.00 Wednesday: ca. 9.00 - 22.00 Thursday: ca. 9.00 - 22.00 Friday: ca. 9.00 - 22.00 Saturday: ca. 9.00 - 22.00 Sunday: ca. 9.00 - 22.00,Åbent fra 1. april til 30. september,Park,12.583029,55.719539
"DRIFT, NORD", toilet.189,,,Nej,Egen drift,toilet.189,Lersøparken,,H+D+handicap+pissoir,Ja,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,Monday: ca. 9.00 - 22.00 Tuesday: ca. 9.00 - 22.00 Wednesday: ca. 9.00 - 22.00 Thursday: ca. 9.00 - 22.00 Friday: ca. 9.00 - 22.00 Saturday: ca. 9.00 - 22.00 Sunday: ca. 9.00 - 22.00,Åbent fra 1. april til 30. september,Park,12.542855,55.709717
"DRIFT, NORD", toilet.190,,,Nej,Egen drift,toilet.190,Damhusdæmningen v. kiosk,,H+D+handicap,Ja,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,Monday: ca. 9.00 - 22.00 Tuesday: ca. 9.00 - 22.00 Wednesday: ca. 9.00 - 22.00 Thursday: ca. 9.00 - 22.00 Friday: ca. 9.00 - 22.00 Saturday: ca. 9.00 - 22.00 Sunday: ca. 9.00 - 22.00,,Park,12.473101,55.68157
"DRIFT, SYD", toilet.191,,,Nej,Udliciteret,toilet.191,"Amager Strandvej, Femøren",2300,H+D,?,8.00 - 22.00 / 18.00,8.00 - 22.00 / 18.00,8.00 - 22.00 / 18.00,8.00 - 22.00 / 18.00,8.00 - 22.00 / 18.00,8.00 - 22.00 / 18.00,8.00 - 22.00 / 18.00,Monday: 8.00 - 22.00 / 18.00 Tuesday: 8.00 - 22.00 / 18.00 Wednesday: 8.00 - 22.00 / 18.00 Thursday: 8.00 - 22.00 / 18.00 Friday: 8.00 - 22.00 / 18.00 Saturday: 8.00 - 22.00 / 18.00 Sunday: 8.00 - 22.00 / 18.00,Åbent til 22.00 fra 15.maj til 31. august,Park,12.64402,55.646201
"DRIFT, SYD", toilet.192,,,Nej,Udliciteret,toilet.192,Amager Strandpark - Kilometerbroen,2300,H+D+handicap,Ja,8.00 - 22.00 / 18.00,8.00 - 22.00 / 18.00,8.00 - 22.00 / 18.00,8.00 - 22.00 / 18.00,8.00 - 22.00 / 18.00,8.00 - 22.00 / 18.00,8.00 - 22.00 / 18.00,Monday: 8.00 - 22.00 / 18.00 Tuesday: 8.00 - 22.00 / 18.00 Wednesday: 8.00 - 22.00 / 18.00 Thursday: 8.00 - 22.00 / 18.00 Friday: 8.00 - 22.00 / 18.00 Saturday: 8.00 - 22.00 / 18.00 Sunday: 8.00 - 22.00 / 18.00,Åbent til 22.00 fra 15.maj til 31. august,Park,12.642967,55.658322
"DRIFT, SYD", toilet.193,,,Nej,Udliciteret,toilet.193,"Vestre Kirkegård, Hovedindgang Vestre Kirkegårds Allé",,H+D,Nej,7.00 - 21.00 / 9.00 - 19.00,7.00 - 21.00 / 9.00 - 19.00,7.00 - 21.00 / 9.00 - 19.00,7.00 - 21.00 / 9.00 - 19.00,7.00 - 21.00 / 9.00 - 19.00,7.00 - 21.00 / 9.00 - 19.00,7.00 - 21.00 / 9.00 - 19.00,Monday: 7.00 - 21.00 / 9.00 - 19.00 Tuesday: 7.00 - 21.00 / 9.00 - 19.00 Wednesday: 7.00 - 21.00 / 9.00 - 19.00 Thursday: 7.00 - 21.00 / 9.00 - 19.00 Friday: 7.00 - 21.00 / 9.00 - 19.00 Saturday: 7.00 - 21.00 / 9.00 - 19.00 Sunday: 7.00 - 21.00 / 9.00 - 19.00,April til september 7.00-21.00 oktober til marts 9.00-19.00,Kirkegård,12.530759,55.66201
"DRIFT, SYD", toilet.194,,39,Nej,,toilet.194,Rødegårdsparken,2300,H+D+handicap,Ja,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,Monday: ca. 9.00 - 22.00 Tuesday: ca. 9.00 - 22.00 Wednesday: ca. 9.00 - 22.00 Thursday: ca. 9.00 - 22.00 Friday: ca. 9.00 - 22.00 Saturday: ca. 9.00 - 22.00 Sunday: ca. 9.00 - 22.00,Åbent fra 1. april til 30. september,Park,12.611136,55.661051
"DRIFT, SYD", toilet.195,,,Nej,Egen drift,toilet.195,"Vigerslevparken, v. Engdraget",,H+D+handicap,Ja,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,Monday: ca. 9.00 - 22.00 Tuesday: ca. 9.00 - 22.00 Wednesday: ca. 9.00 - 22.00 Thursday: ca. 9.00 - 22.00 Friday: ca. 9.00 - 22.00 Saturday: ca. 9.00 - 22.00 Sunday: ca. 9.00 - 22.00,Åbent fra 1. april til 30. september,Park,12.480273,55.669723
"DRIFT, SYD", toilet.196,,,Nej,Egen drift,toilet.196,Valbypark v Rosenhaven,,H+D+handicap,Ja,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,Monday: ca. 9.00 - 22.00 Tuesday: ca. 9.00 - 22.00 Wednesday: ca. 9.00 - 22.00 Thursday: ca. 9.00 - 22.00 Friday: ca. 9.00 - 22.00 Saturday: ca. 9.00 - 22.00 Sunday: ca. 9.00 - 22.00,Åbent fra 1. april til 30. september,Park,12.519723,55.640612
"DRIFT, SYD", toilet.197,,,Nej,Udliciteret,toilet.197,Sundbyvesterparken v. legeplads,2300,H+D+handicap,Ja,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,Monday: ca. 9.00 - 22.00 Tuesday: ca. 9.00 - 22.00 Wednesday: ca. 9.00 - 22.00 Thursday: ca. 9.00 - 22.00 Friday: ca. 9.00 - 22.00 Saturday: ca. 9.00 - 22.00 Sunday: ca. 9.00 - 22.00,Åbent fra 1. april til 30. september,Park,12.602138,55.65065
"DRIFT, SYD", toilet.198,,,Nej,Udliciteret,toilet.198,Lergravsparken,2300,H+D+handicap,Ja,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,Monday: ca. 9.00 - 22.00 Tuesday: ca. 9.00 - 22.00 Wednesday: ca. 9.00 - 22.00 Thursday: ca. 9.00 - 22.00 Friday: ca. 9.00 - 22.00 Saturday: ca. 9.00 - 22.00 Sunday: ca. 9.00 - 22.00,,Park,12.617156,55.661741
"DRIFT, SYD", toilet.199,,,Nej,Egen drift,toilet.199,Valbypark v restaurant,,H+D+handicap,Ja,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,Monday: ca. 9.00 - 22.00 Tuesday: ca. 9.00 - 22.00 Wednesday: ca. 9.00 - 22.00 Thursday: ca. 9.00 - 22.00 Friday: ca. 9.00 - 22.00 Saturday: ca. 9.00 - 22.00 Sunday: ca. 9.00 - 22.00,Åbent fra 1. april til 30. september,Park,12.52025,55.641833
"DRIFT, INDRE", toilet.200,,,Nej,Udliciteret,toilet.200,"Østre Anlæg, Østre Anlæg legeplads",,H+D,Nej,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,Monday: ca. 9.00 - 22.00 Tuesday: ca. 9.00 - 22.00 Wednesday: ca. 9.00 - 22.00 Thursday: ca. 9.00 - 22.00 Friday: ca. 9.00 - 22.00 Saturday: ca. 9.00 - 22.00 Sunday: ca. 9.00 - 22.00,,Park,12.579121,55.690613
"DRIFT, INDRE", toilet.201,,,Nej,Egen drift,toilet.201,Enghaveparken,,H+D+handicap,Ja,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,Monday: ca. 9.00 - 22.00 Tuesday: ca. 9.00 - 22.00 Wednesday: ca. 9.00 - 22.00 Thursday: ca. 9.00 - 22.00 Friday: ca. 9.00 - 22.00 Saturday: ca. 9.00 - 22.00 Sunday: ca. 9.00 - 22.00,Åbent fra 1. april til 30. september,Park,12.541118,55.667806
"DRIFT, INDRE", toilet.203,,,Nej,Egen drift,toilet.203,Folkets park,2200,H+D,Nej,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,Monday: ca. 9.00 - 22.00 Tuesday: ca. 9.00 - 22.00 Wednesday: ca. 9.00 - 22.00 Thursday: ca. 9.00 - 22.00 Friday: ca. 9.00 - 22.00 Saturday: ca. 9.00 - 22.00 Sunday: ca. 9.00 - 22.00,,Park,12.554982,55.68727
"DRIFT, INDRE", toilet.204,,1,Nej,Udliciteret,toilet.204,Edel Sauntes Alle 1 (Bikuben ),,H+D,Nej,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,Monday: ca. 9.00 - 22.00 Tuesday: ca. 9.00 - 22.00 Wednesday: ca. 9.00 - 22.00 Thursday: ca. 9.00 - 22.00 Friday: ca. 9.00 - 22.00 Saturday: ca. 9.00 - 22.00 Sunday: ca. 9.00 - 22.00,Åbent fra 1. april til 30. september,Park,12.562361,55.698973
"DRIFT, NORD", toilet.205,,,Nej,Udliciteret,toilet.205,Hans Tavsens Park,2200,H+D+handicap,Ja,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,Monday: ca. 9.00 - 22.00 Tuesday: ca. 9.00 - 22.00 Wednesday: ca. 9.00 - 22.00 Thursday: ca. 9.00 - 22.00 Friday: ca. 9.00 - 22.00 Saturday: ca. 9.00 - 22.00 Sunday: ca. 9.00 - 22.00,Åbent fra 1. april til 30. september,Park,12.548019,55.688641
"DRIFT, SYD", toilet.206,,,Nej,Egen drift,toilet.206,"Vigerslevparken, v. Lykkebovej",,H+D+handicap+pissoir,Ja,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,Monday: ca. 9.00 - 22.00 Tuesday: ca. 9.00 - 22.00 Wednesday: ca. 9.00 - 22.00 Thursday: ca. 9.00 - 22.00 Friday: ca. 9.00 - 22.00 Saturday: ca. 9.00 - 22.00 Sunday: ca. 9.00 - 22.00,Åbent fra 1. april til 30. september,Park,12.478322,55.658138
"DRIFT, INDRE", toilet.207,,,Nej,Ikke registreret,toilet.207,"Ørstedsparken, Nørre Farimagsgade",,H+D+handicap,Ja,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,Monday: ca. 9.00 - 22.00 Tuesday: ca. 9.00 - 22.00 Wednesday: ca. 9.00 - 22.00 Thursday: ca. 9.00 - 22.00 Friday: ca. 9.00 - 22.00 Saturday: ca. 9.00 - 22.00 Sunday: ca. 9.00 - 22.00,,Park,12.56456,55.680387
"DRIFT, INDRE", toilet.208,,,Nej,Udliciteret,toilet.208,Trafiklegepladsen,,H+D,Nej,9.30 - 17.00,9.30 - 17.00,9.30 - 17.00,9.30 - 17.00,10.00 - 17.00,lukket,lukket,Monday: 9.30 - 17.00 Tuesday: 9.30 - 17.00 Wednesday: 9.30 - 17.00 Thursday: 9.30 - 17.00 Friday: 10.00 - 17.00 Saturday: lukket Sunday: lukket,,Park,12.570897,55.704867
"DRIFT, INDRE", toilet.209,,5,Nej,Udliciteret,toilet.209,P. H. Lings Alle 5,,H+D+handicap,Ja,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,Monday: ca. 9.00 - 22.00 Tuesday: ca. 9.00 - 22.00 Wednesday: ca. 9.00 - 22.00 Thursday: ca. 9.00 - 22.00 Friday: ca. 9.00 - 22.00 Saturday: ca. 9.00 - 22.00 Sunday: ca. 9.00 - 22.00,Åbent fra 1. april til 30. september,Park,12.570661,55.703188
